Username,Timestamp,location,device
74_dreamer,2020-07-11 06:45:04+00:00,"London, England",iPhone
EUGENEOdari,2020-07-11 06:45:04+00:00,"Nairobi, Kenya",Android
BernardAFox,2020-07-11 06:45:05+00:00,"Portland, Oregon, USA",iPhone
CHigginsLaw,2020-07-11 06:45:05+00:00,Liverpool,Mobile device
ferguson_rhodes,2020-07-11 06:45:05+00:00,"Kingston upon Thames, London",iPhone
lesleyjordison,2020-07-11 06:45:05+00:00,,iPhone
alliedmeet,2020-07-11 06:45:05+00:00,,-
CharlesBrett,2020-07-11 06:45:06+00:00,"Madrid, Spain + toomany planes",-
RickCall0,2020-07-11 06:45:06+00:00,Under your bed.,Android
crfc1876,2020-07-11 06:45:06+00:00,Cardiff Arms Park,Android
EtiopiaUnite,2020-07-11 06:45:07+00:00,,iPhone
Emer_gencyexit1,2020-07-11 06:45:08+00:00,"Punjab, India",Android
CatherinePres20,2020-07-11 06:45:09+00:00,,iPhone
murphy13272,2020-07-11 06:45:09+00:00,,Android
DrBaldeweg,2020-07-11 06:45:10+00:00,London,iPhone
vikramallahabad,2020-07-11 06:45:11+00:00,WGS 84 / UTM zone 44N ,Mobile device
BehaniPragati,2020-07-11 06:45:11+00:00,"New Delhi, India",Android
cdetoroarias,2020-07-11 06:45:11+00:00,"Camden Town, London",iPhone
BeenThereSawIt,2020-07-11 06:45:12+00:00,Southeast Asia,Mobile device
TiffanyElora,2020-07-11 06:45:12+00:00,"Tucson, AZ",Android
SibbyMcC,2020-07-11 06:45:12+00:00,,iPhone
science_vote,2020-07-11 06:45:12+00:00,"Voting Booth, Ohio ",Android
SYEDABDUL2015,2020-07-11 06:45:12+00:00,,Android
curriedkebab,2020-07-11 06:45:12+00:00,,Android
42_theanswer,2020-07-11 06:45:12+00:00,United States,Mobile device
CoronaWorldStat,2020-07-11 06:45:13+00:00,Netherlands,-
Garyc01Martina,2020-07-11 06:45:13+00:00,,iPhone
steve20594431,2020-07-11 06:45:13+00:00,,iPad
iJigneshDesai,2020-07-11 06:45:13+00:00,"Surat Gujarat,New Delhi, India",Android
PanAfricanSoul,2020-07-11 06:45:14+00:00,"California, USA",iPhone
uniindianews,2020-07-11 06:45:14+00:00,"New Delhi, Delhi",-
corennacornwell,2020-07-11 06:45:15+00:00,,Android
Sreefertility,2020-07-11 06:45:15+00:00,"8-3-1109/1/6, Plot # 3, 1st & 2nd Floor, 
Hari Priya Villa, Opp SBI bank, Keshava nagar, 
Sri Nagar Colony, Hyderabad - 500073.",Mobile device
florestaqueen,2020-07-11 06:45:16+00:00,"Torquay, UK",iPad
isaac_adu1,2020-07-11 06:45:16+00:00,"Chicago, IL",iPhone
SanjayP36346212,2020-07-11 06:45:16+00:00,,Android
MyraModel,2020-07-11 06:45:16+00:00,Los Angeles,Mobile device
nileshwadkar13,2020-07-11 06:45:17+00:00,Mumbai.Maharashtra,Android
segzeeguy,2020-07-11 06:45:17+00:00,Niaja,Android
