Date,Name of State / UT,Active Cases*,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered
2020-07-01,Andaman and Nicobar Islands,47,11.7401,92.6586,97,0,50,0,0,0
2020-07-01,Andhra Pradesh,7897,15.9129,79.74,14595,187,6511,0,0,0
2020-07-01,Arunachal Pradesh,128,28.218000000000004,94.7278,191,1,62,0,0,0
2020-07-01,Assam,2568,26.2006,92.9376,8227,12,5647,0,0,0
2020-07-01,Bihar,2289,25.0961,85.3131,10043,67,7687,0,0,0
2020-07-01,Chandigarh,70,30.7333,76.7794,440,6,364,0,0,0
2020-07-01,Chhattisgarh,597,21.2787,81.8661,2860,13,2250,0,0,0
2020-07-01,Dadra and Nagar Haveli and Daman and Diu,131,20.1809,73.0169,213,0,82,0,0,0
2020-07-01,Delhi,26270,28.7041,77.1025,87360,2742,58348,0,0,0
2020-07-01,Goa,716,15.2993,74.124,1315,3,596,0,0,0
2020-07-01,Gujarat,7049,22.2587,71.1924,32557,1846,23662,0,0,0
2020-07-01,Haryana,4340,29.0588,76.0856,14548,236,9972,0,0,0
2020-07-01,Himachal Pradesh,363,31.1048,77.1734,953,10,580,0,0,0
2020-07-01,Jammu and Kashmir,2674,33.7782,76.5762,7497,101,4722,0,0,0
2020-07-01,Jharkhand,591,23.6102,85.2799,2490,15,1884,0,0,0
2020-07-01,Karnataka,7078,15.3173,75.7139,15242,246,7918,0,0,0
2020-07-01,Kerala,2112,10.8505,76.2711,4442,24,2306,0,0,0
2020-07-01,Ladakh,324,34.2996,78.2932,973,1,648,0,0,0
2020-07-01,Madhya Pradesh,2626,22.9734,78.6569,13593,572,10395,0,0,0
2020-07-01,Maharashtra,75995,19.7515,75.7139,174761,7855,90911,0,0,0
2020-07-01,Manipur,681,24.6637,93.9063,1234,0,553,0,0,0
2020-07-01,Meghalaya,9,25.467,91.3662,52,1,42,0,0,0
2020-07-01,Mizoram,38,23.1645,92.9376,160,0,122,0,0,0
2020-07-01,Nagaland,291,26.1584,94.5624,459,0,168,0,0,0
2020-07-01,Odisha,1851,20.9517,85.0985,7065,25,5189,0,0,0
2020-07-01,Puducherry,430,11.9416,79.8083,714,12,272,0,0,0
2020-07-01,Punjab,1557,31.1471,75.3412,5568,144,3867,0,0,0
2020-07-01,Rajasthan,3381,27.0238,74.2179,18014,413,14220,0,0,0
2020-07-01,Sikkim,37,27.533,88.5122,89,0,52,0,0,0
2020-07-01,Tamil Nadu,38892,11.1271,78.6569,90167,1201,50074,0,0,0
2020-07-01,Telangana,8785,18.1124,79.0193,16339,260,7294,0,0,0
2020-07-01,Tripura,301,23.9408,91.9882,1388,1,1086,0,0,0
2020-07-01,Uttar Pradesh,6711,26.8467,80.9462,23492,697,16084,0,0,0
2020-07-01,Uttarakhand,609,30.0668,79.0193,2881,41,2231,0,0,0
2020-07-01,West Bengal,5761,22.9868,87.855,18559,668,12130,0,0,0
2020-07-02,Andaman and Nicobar Islands,50,11.7401,92.6586,100,0,50,3,0,0
2020-07-02,Andhra Pradesh,8071,15.9129,79.74,15252,193,6988,657,6,477
2020-07-02,Arunachal Pradesh,128,28.218000000000004,94.7278,195,1,66,4,0,4
2020-07-02,Assam,2719,26.2006,92.9376,8582,12,5851,355,0,204
2020-07-02,Bihar,2233,25.0961,85.3131,10249,70,7946,206,3,259
2020-07-02,Chandigarh,73,30.7333,76.7794,446,6,367,6,0,3
2020-07-02,Chhattisgarh,623,21.2787,81.8661,2940,14,2303,80,1,53
2020-07-02,Dadra and Nagar Haveli and Daman and Diu,129,20.1809,73.0169,215,0,86,2,0,4
2020-07-02,Delhi,27007,28.7041,77.1025,89802,2803,59992,2442,61,1644
2020-07-02,Goa,713,15.2993,74.124,1387,4,670,72,1,74
2020-07-02,Gujarat,7335,22.2587,71.1924,33232,1867,24030,675,21,368
2020-07-02,Haryana,4202,29.0588,76.0856,14941,240,10499,393,4,527
2020-07-02,Himachal Pradesh,355,31.1048,77.1734,979,10,614,26,0,34
2020-07-02,Jammu and Kashmir,2734,33.7782,76.5762,7695,105,4856,198,4,134
2020-07-02,Jharkhand,575,23.6102,85.2799,2521,15,1931,31,0,47
2020-07-02,Karnataka,8198,15.3173,75.7139,16514,253,8063,1272,7,145
2020-07-02,Kerala,2130,10.8505,76.2711,4593,24,2439,151,0,133
2020-07-02,Ladakh,295,34.2996,78.2932,990,1,694,17,0,46
2020-07-02,Madhya Pradesh,2625,22.9734,78.6569,13861,581,10655,268,9,260
2020-07-02,Maharashtra,79091,19.7515,75.7139,180298,8053,93154,5537,198,2243
2020-07-02,Manipur,681,24.6637,93.9063,1260,0,579,26,0,26
2020-07-02,Meghalaya,9,25.467,91.3662,52,1,42,0,0,0
2020-07-02,Mizoram,37,23.1645,92.9376,160,0,123,0,0,1
2020-07-02,Nagaland,291,26.1584,94.5624,459,0,168,0,0,0
2020-07-02,Odisha,1938,20.9517,85.0985,7316,25,5353,251,0,164
2020-07-02,Puducherry,430,11.9416,79.8083,714,12,272,0,0,0
2020-07-02,Punjab,1652,31.1471,75.3412,5668,149,3867,100,5,0
2020-07-02,Rajasthan,3317,27.0238,74.2179,18312,421,14574,298,8,354
2020-07-02,Sikkim,48,27.533,88.5122,101,0,53,12,0,1
2020-07-02,Tamil Nadu,39859,11.1271,78.6569,94049,1264,52926,3882,63,2852
2020-07-02,Telangana,9008,18.1124,79.0193,17357,267,8082,1018,7,788
2020-07-02,Tripura,302,23.9408,91.9882,1396,1,1093,8,0,7
2020-07-02,Uttar Pradesh,6709,26.8467,80.9462,24056,718,16629,564,21,545
2020-07-02,Uttarakhand,589,30.0668,79.0193,2947,41,2317,66,0,86
2020-07-02,West Bengal,5959,22.9868,87.855,19170,683,12528,611,15,398
2020-07-05,Andaman and Nicobar Islands,53,11.7401,92.6586,119,0,66,19,0,16
2020-07-05,Andhra Pradesh,9473,15.9129,79.74,17699,218,8008,2447,25,1020
2020-07-05,Arunachal Pradesh,182,28.218000000000004,94.7278,259,1,76,64,0,10
2020-07-05,Assam,3997,26.2006,92.9376,10668,14,6657,2086,2,806
2020-07-05,Bihar,2925,25.0961,85.3131,11700,89,8686,1451,19,740
2020-07-05,Chandigarh,59,30.7333,76.7794,460,6,395,14,0,28
2020-07-05,Chhattisgarh,598,21.2787,81.8661,3161,14,2549,221,0,246
2020-07-05,Dadra and Nagar Haveli and Daman and Diu,175,20.1809,73.0169,271,0,96,56,0,10
2020-07-05,Delhi,25940,28.7041,77.1025,97200,3004,68256,7398,201,8264
2020-07-05,Goa,853,15.2993,74.124,1684,6,825,297,2,155
2020-07-05,Gujarat,7981,22.2587,71.1924,35312,1925,25406,2080,58,1376
2020-07-05,Haryana,4031,29.0588,76.0856,16548,260,12257,1607,20,1758
2020-07-05,Himachal Pradesh,331,31.1048,77.1734,1046,11,704,67,1,90
2020-07-05,Jammu and Kashmir,2976,33.7782,76.5762,8246,127,5143,551,22,287
2020-07-05,Jharkhand,687,23.6102,85.2799,2739,17,2035,218,2,104
2020-07-05,Karnataka,11970,15.3173,75.7139,21549,335,9244,5035,82,1181
2020-07-05,Kerala,2131,10.8505,76.2711,5204,25,3048,611,1,609
2020-07-05,Ladakh,178,34.2996,78.2932,1005,1,826,15,0,132
2020-07-05,Madhya Pradesh,2772,22.9734,78.6569,14604,598,11234,743,17,579
2020-07-05,Maharashtra,83311,19.7515,75.7139,200064,8671,108082,19766,618,14928
2020-07-05,Manipur,658,24.6637,93.9063,1325,0,667,65,0,88
2020-07-05,Meghalaya,18,25.467,91.3662,62,1,43,10,0,1
2020-07-05,Mizoram,34,23.1645,92.9376,164,0,130,4,0,7
2020-07-05,Nagaland,335,26.1584,94.5624,563,0,228,104,0,60
2020-07-05,Odisha,2633,20.9517,85.0985,8601,34,5934,1285,9,581
2020-07-05,Puducherry,459,11.9416,79.8083,802,12,331,88,0,59
2020-07-05,Punjab,1641,31.1471,75.3412,6109,162,4306,441,13,439
2020-07-05,Rajasthan,3445,27.0238,74.2179,19532,447,15640,1220,26,1066
2020-07-05,Sikkim,45,27.533,88.5122,103,0,58,2,0,5
2020-07-05,Tamil Nadu,44959,11.1271,78.6569,107001,1450,60592,12952,186,7666
2020-07-05,Telangana,10487,18.1124,79.0193,22312,288,11537,4955,21,3455
2020-07-05,Tripura,343,23.9408,91.9882,1546,1,1202,150,0,109
2020-07-05,Uttar Pradesh,7627,26.8467,80.9462,26554,773,18154,2498,55,1525
2020-07-05,Uttarakhand,549,30.0668,79.0193,3093,42,2502,146,1,185
2020-07-05,West Bengal,6329,22.9868,87.855,21231,736,14166,2061,53,1638
2020-07-15,Andaman and Nicobar Islands,57,11.7401,92.6586,166,0,109,47,0,43
2020-07-15,Andhra Pradesh,15144,15.9129,79.74,33019,408,17467,15320,190,9459
2020-07-15,Arunachal Pradesh,306,28.218000000000004,94.7278,462,3,153,203,2,77
2020-07-15,Assam,6351,26.2006,92.9376,17807,40,11416,7139,26,4759
2020-07-15,Bihar,6261,25.0961,85.3131,19284,174,12849,7584,85,4163
2020-07-15,Chandigarh,144,30.7333,76.7794,600,10,446,140,4,51
2020-07-15,Chhattisgarh,1084,21.2787,81.8661,4379,20,3275,1218,6,726
2020-07-15,Dadra and Nagar Haveli and Daman and Diu,209,20.1809,73.0169,520,1,310,249,1,214
2020-07-15,Delhi,18664,28.7041,77.1025,115346,3446,93236,18146,442,24980
2020-07-15,Goa,1128,15.2993,74.124,2753,18,1607,1069,12,782
2020-07-15,Gujarat,11065,22.2587,71.1924,43637,2069,30503,8325,144,5097
2020-07-15,Haryana,5226,29.0588,76.0856,22628,312,17090,6080,52,4833
2020-07-15,Himachal Pradesh,347,31.1048,77.1734,1309,11,951,263,0,247
2020-07-15,Jammu and Kashmir,4755,33.7782,76.5762,11173,195,6223,2927,68,1080
2020-07-15,Jharkhand,1628,23.6102,85.2799,4091,36,2427,1352,19,392
2020-07-15,Karnataka,25845,15.3173,75.7139,44077,842,17390,22528,507,8146
2020-07-15,Kerala,4458,10.8505,76.2711,8930,34,4438,3726,9,1390
2020-07-15,Ladakh,146,34.2996,78.2932,1093,1,946,88,0,120
2020-07-15,Madhya Pradesh,4757,22.9734,78.6569,19005,673,13575,4401,75,2341
2020-07-15,Maharashtra,107963,19.7515,75.7139,267665,10695,149007,67601,2024,40925
2020-07-15,Manipur,702,24.6637,93.9063,1672,0,970,347,0,303
2020-07-15,Meghalaya,250,25.467,91.3662,318,2,66,256,1,23
2020-07-15,Mizoram,79,23.1645,92.9376,238,0,159,74,0,29
2020-07-15,Nagaland,550,26.1584,94.5624,896,0,346,333,0,118
2020-07-15,Odisha,4342,20.9517,85.0985,14280,74,9864,5679,40,3930
2020-07-15,Puducherry,684,11.9416,79.8083,1531,18,829,729,6,498
2020-07-15,Punjab,2635,31.1471,75.3412,8511,213,5663,2402,51,1357
2020-07-15,Rajasthan,5885,27.0238,74.2179,25571,525,19161,6039,78,3521
2020-07-15,Sikkim,122,27.533,88.5122,209,0,87,106,0,29
2020-07-15,Tamil Nadu,47915,11.1271,78.6569,147324,2099,97310,40323,649,36718
2020-07-15,Telangana,12530,18.1124,79.0193,37745,375,24840,15433,87,13303
2020-07-15,Tripura,630,23.9408,91.9882,2170,2,1538,624,1,336
2020-07-15,Uttar Pradesh,13758,26.8467,80.9462,39724,983,24983,13170,210,6829
2020-07-15,Uttarakhand,769,30.0668,79.0193,3686,50,2867,593,8,365
2020-07-15,West Bengal,11927,22.9868,87.855,32838,980,19931,11607,244,5765
